Compound,AMID_N,ATSC6se,IC1,AATS1Z,EState_VSA5,MATS2d,AETA_dBeta,GATS2v,ATSC7i,SMR_VSA3,BCUTp-1h,SMR_VSA5,AATS2m,fr_C_O_noCOO,ka,V1,"CLh,int"
Acetaminophen,0.179,-0.362,3.28,24.5,19.1,-0.19,0.182,1.05,-0.141,0,1.98,6.92,80.2,1,10.7,0.112,0.811
Acrylonitrile,0.414,0,2.13,22,6.08,-0.6,0.563,1.16,0,0,1.92,0,51.7,0,32.7,0.416,0.224
AG-041R,0.209,0.39,3.49,24.1,4.9,0.109,-0.05,0.945,-5.42,5.32,2.00,45.9,76.6,3,1.09,0.646,15.8
Alprazolam,0.383,-0.262,3.25,28.9,0,0.0905,0.159,0.812,-5.33,14.8,2.21,13.5,102,0,2.89,1.07,2.81
2-Aminobiphenyl,0.136,-0.041,2.04,23.1,5.56,-0.0935,0.404,1.04,4.19,0,2.00,0,74.0,0,7.62,0.606,3.51
Aniline,0.249,0.0238,2.01,21.6,0,-0.333,0.393,1.16,0,0,1.98,0,64.2,0,36.7,0.448,1.51
Apixaban,0.312,1.3,3.66,26.2,4.68,0.0823,-0.0515,0.909,13.5,9.78,1.99,25.7,85.6,3,1.43,0.847,1.58
Apomorphine,0.108,0.00711,3.29,24.4,11.1,0.0516,0.0125,0.819,-8.17,4.90,2.02,18.9,80.2,0,4.32,0.388,2.43
Aspirin,0,0.938,3.31,27.5,19.1,0.0302,0.135,0.949,8.42,0,1.98,6.92,97.2,1,6.70,0.501,1.25
Astaxanthin,0,-0.419,2.9,20.5,0,-0.131,-0.216,0.909,-112,0,2.01,94.3,62.1,2,0.934,1.61,527
Atomoxetine,0.0982,-0.357,2.89,21.5,11.1,-0.0129,0.0789,1.01,-29.5,5.32,1.99,19.4,61.3,0,5.47,1.05,1.36
Azithromycin,0.0788,-1.58,2.73,20.9,14,-0.0521,-0.606,0.992,-59.5,9.80,1.92,185,63.7,1,0.560,0.742,0.413
Balsalazide,0.234,3.23,3.71,28,42.5,-0.179,0.115,1.07,6.1,5.32,1.99,6.42,97.8,1,5.26,0.435,9.37
Benidipine,0.169,1.11,3.57,25,24.8,0.0427,-0.122,0.924,-18.4,10.2,2.00,45.3,77.8,2,0.791,1.33,50.1
Benzydamine,0.277,-0.705,3.08,23.1,5.56,0.058,0,0.883,-11.8,14.7,2.00,13.0,68.1,0,2.93,1.24,1.97
Beraprost,0,0.695,3.59,22.5,0,0.0237,-0.224,1.1,-2.06,0,2.01,70.2,67.6,0,6.30,0.528,2.94
Betaxolol,0.088,-1.05,3.15,20.7,18.4,-0.243,-0.307,1.17,24,5.32,1.98,45.3,52.3,0,1.27,0.330,0.856
Bisphenol A,0,0.539,2.82,22.7,0,-0.234,0.206,0.905,-0.606,0,2.00,19.3,75.7,0,1.04,0.597,3.22
Bisoprolol,0.0842,-0.736,3,20.6,0,-0.156,-0.315,1.07,3.21,5.32,1.98,52.6,54.5,0,1.29,0.263,1.14
BO-653,0,-1.55,2.24,18.4,44.1,0.0976,-0.313,0.987,-119,0,2.01,130,53.4,0,0.397,0.530,348
Bromobenzene,0,0,1.65,38,0,-0.299,0.429,0.929,0,0,3.06,0,161,0,2.67,0.336,7.46
"1,4-Butanediol",0,-0.188,2,17.9,0,-0.282,-0.5,1.5,0.339,0,1.84,12.8,35.0,0,1.47,0.0389,0.287
?-Cedrene,0,0.114,2.27,18.4,25.7,0.017,-0.5,0.956,7.6,0,1.97,53.4,55.6,0,1.09,1.19,454
Caffeine,0.597,-0.0357,2.92,27.6,17.9,0.0898,-0.196,0.324,9.32,18.7,1.94,0,94.1,0,2.10,0.551,0.153
D-Carnosine,0.481,-0.697,3.79,24.8,12.5,-0.134,-0.219,1.19,-2.59,15.3,1.90,18.9,75.4,1,3.92,0.269,0.472
L-Carnosine,0.481,-0.697,3.79,24.8,12.5,-0.134,-0.219,1.19,-2.59,15.3,1.90,18.9,75.4,1,0.668,0.101,0.0565
Cefixime,0.337,-1.9,4.6,35,23.2,0.0305,-0.208,0.998,17.3,15.2,2.94,11.4,128,2,3.39,0.157,0.292
Celiprolol,0.225,-1.74,3.27,21.3,6.92,-0.093,-0.241,0.959,8.94,10.2,1.99,53.2,62.7,2,1.84,0.230,2.16
